Latitude,Longitude,TMax 
50.36,-74.46,-9.114
50.36,-74.46,-9.288
50.36,-74.46,-8.62
50.36,-74.46,-7.214
50.36,-74.46,-8.199
50.36,-74.46,-6.997
50.36,-74.46,-6.555
50.36,-74.46,-7.842
50.36,-74.46,-7.219
50.36,-74.46,-7.64
50.36,-74.46,-8.95
50.36,-74.46,-8.496
50.36,-74.46,-7.312
50.36,-74.46,-6.801
50.36,-74.46,-7.173
50.36,-74.46,-8.989
50.36,-74.46,-7.655
50.36,-74.46,-7.202
50.36,-74.46,-7.992
50.36,-74.46,-6.953
50.36,-74.46,-8.243
50.35,-74.46,-8.603
50.35,-74.46,-7.821
50.35,-74.46,-7.687
50.35,-74.46,-6.453
50.35,-74.46,-7.669
50.35,-74.46,-7.891
50.35,-74.46,-9.125
50.35,-74.46,-7.683
50.35,-74.46,-7.27
50.35,-74.46,-9.133
50.35,-74.46,-9.308
50.35,-74.46,-8.64
50.35,-74.46,-7.234
50.35,-74.46,-8.219
50.35,-74.46,-7.016
50.35,-74.46,-6.575
50.35,-74.46,-7.862
50.35,-74.46,-7.238
50.35,-74.46,-7.66
50.35,-74.46,-8.971
50.35,-74.46,-8.515
50.35,-74.46,-7.331
50.35,-74.46,-6.821
50.35,-74.46,-7.192
50.35,-74.46,-9.009
50.35,-74.46,-7.675
50.35,-74.46,-7.222
50.35,-74.46,-8.012
50.35,-74.46,-6.972
50.35,-74.46,-8.263
50.35,-74.46,-8.612
50.35,-74.46,-7.83
50.35,-74.46,-7.696
50.35,-74.46,-6.462
50.35,-74.46,-7.678
50.35,-74.46,-7.9
50.35,-74.46,-9.134
50.35,-74.46,-7.692
50.35,-74.46,-7.278
50.35,-74.46,-9.142
50.35,-74.46,-9.317
50.35,-74.46,-8.649
50.35,-74.46,-7.243
50.35,-74.46,-8.228
50.35,-74.46,-7.025
50.35,-74.46,-6.584
50.35,-74.46,-7.87
50.35,-74.46,-7.246
50.35,-74.46,-7.669
50.35,-74.46,-8.98
50.35,-74.46,-8.524
50.35,-74.46,-7.34
50.35,-74.46,-6.83
50.35,-74.46,-7.201
50.35,-74.46,-9.018
50.35,-74.46,-7.684
50.35,-74.46,-7.231
50.35,-74.46,-8.021
50.35,-74.46,-6.981
50.35,-74.46,-8.272
50.24,-75.33,-8.651
50.24,-75.33,-7.855
50.24,-75.33,-7.699
50.24,-75.33,-6.446
50.24,-75.33,-7.688
50.24,-75.33,-7.927
50.24,-75.33,-9.165
50.24,-75.33,-7.713
50.24,-75.33,-7.278
50.24,-75.33,-9.199
50.24,-75.33,-9.399
50.24,-75.33,-8.709
50.24,-75.33,-7.242
50.24,-75.33,-8.262
50.24,-75.33,-7.011
50.24,-75.33,-6.556
50.24,-75.33,-7.908
50.24,-75.33,-7.241
50.24,-75.33,-7.667
50.24,-75.33,-9.046
50.24,-75.33,-8.553
50.24,-75.33,-7.3
50.24,-75.33,-6.818
50.24,-75.33,-7.174
50.24,-75.33,-9.077
50.24,-75.33,-7.705
50.24,-75.33,-7.227
50.24,-75.33,-8.062
50.24,-75.33,-6.961
50.24,-75.33,-8.284
50.23,-75.33,-8.642
50.23,-75.33,-7.846
50.23,-75.33,-7.689
50.23,-75.33,-6.437
50.23,-75.33,-7.679
50.23,-75.33,-7.918
50.23,-75.33,-9.156
50.23,-75.33,-7.704
50.23,-75.33,-7.269
50.23,-75.33,-9.189
50.23,-75.33,-9.391
50.23,-75.33,-8.7
50.23,-75.33,-7.233
50.23,-75.33,-8.253
50.23,-75.33,-7.002
50.23,-75.33,-6.547
50.23,-75.33,-7.898
50.23,-75.33,-7.232
50.23,-75.33,-7.658
50.23,-75.33,-9.037
50.23,-75.33,-8.543
50.23,-75.33,-7.291
50.23,-75.33,-6.81
50.23,-75.33,-7.165
50.23,-75.33,-9.068
50.23,-75.33,-7.696
50.23,-75.33,-7.218
50.23,-75.33,-8.052
50.23,-75.33,-6.951
50.23,-75.33,-8.275
50.23,-75.33,-8.642
50.23,-75.33,-7.846
50.23,-75.33,-7.689
50.23,-75.33,-6.437
50.23,-75.33,-7.679
50.23,-75.33,-7.918
50.23,-75.33,-9.156
50.23,-75.33,-7.704
50.23,-75.33,-7.269
50.23,-75.33,-9.189
50.23,-75.33,-9.391
50.23,-75.33,-8.7
50.23,-75.33,-7.233
50.23,-75.33,-8.253
50.23,-75.33,-7.002
50.23,-75.33,-6.547
50.23,-75.33,-7.898
50.23,-75.33,-7.232
50.23,-75.33,-7.658
50.23,-75.33,-9.037
50.23,-75.33,-8.543
50.23,-75.33,-7.291
50.23,-75.33,-6.81
50.23,-75.33,-7.165
50.23,-75.33,-9.068
50.23,-75.33,-7.696
50.23,-75.33,-7.218
50.23,-75.33,-8.052
50.23,-75.33,-6.951
50.23,-75.33,-8.275
50.23,-75.33,-8.653
50.23,-75.33,-7.857
50.23,-75.33,-7.701
50.23,-75.33,-6.448
50.23,-75.33,-7.69
50.23,-75.33,-7.929
50.23,-75.33,-9.168
50.23,-75.33,-7.716
50.23,-75.33,-7.281
50.23,-75.33,-9.201
50.23,-75.33,-9.402
50.23,-75.33,-8.712
50.23,-75.33,-7.244
50.23,-75.33,-8.264
50.23,-75.33,-7.013
50.23,-75.33,-6.558
50.23,-75.33,-7.91
50.23,-75.33,-7.243
50.23,-75.33,-7.67
50.23,-75.33,-9.049
50.23,-75.33,-8.555
50.23,-75.33,-7.303
50.23,-75.33,-6.821
50.23,-75.33,-7.177
50.23,-75.33,-9.08
50.23,-75.33,-7.708
50.23,-75.33,-7.23
50.23,-75.33,-8.064
50.23,-75.33,-6.963
50.23,-75.33,-8.287
50.17,-75.35,-8.602
50.17,-75.35,-7.805
50.17,-75.35,-7.646
50.17,-75.35,-6.394
50.17,-75.35,-7.637
50.17,-75.35,-7.877
50.17,-75.35,-9.116
50.17,-75.35,-7.663
50.17,-75.35,-7.227
50.17,-75.35,-9.145
50.17,-75.35,-9.353
50.17,-75.35,-8.659
50.17,-75.35,-7.191
50.17,-75.35,-8.212
50.17,-75.35,-6.961
50.17,-75.35,-6.503
50.17,-75.35,-7.855
50.17,-75.35,-7.188
50.17,-75.35,-7.617
50.17,-75.35,-8.998
50.17,-75.35,-8.5
50.17,-75.35,-7.25
50.17,-75.35,-6.77
50.17,-75.35,-7.123
50.17,-75.35,-9.029
50.17,-75.35,-7.655
50.17,-75.35,-7.177
50.17,-75.35,-8.011
50.17,-75.35,-6.908
50.17,-75.35,-8.234
50.17,-75.34,-8.623
50.17,-75.34,-7.825
50.17,-75.34,-7.667
50.17,-75.34,-6.414
50.17,-75.34,-7.658
50.17,-75.34,-7.898
50.17,-75.34,-9.137
50.17,-75.34,-7.683
50.17,-75.34,-7.248
50.17,-75.34,-9.166
50.17,-75.34,-9.374
50.17,-75.34,-8.68
50.17,-75.34,-7.212
50.17,-75.34,-8.233
50.17,-75.34,-6.981
50.17,-75.34,-6.524
50.17,-75.34,-7.875
50.17,-75.34,-7.209
50.17,-75.34,-7.638
50.17,-75.34,-9.018
50.17,-75.34,-8.521
50.17,-75.34,-7.271
50.17,-75.34,-6.791
50.17,-75.34,-7.144
50.17,-75.34,-9.049
50.17,-75.34,-7.676
50.17,-75.34,-7.198
